 "s" , "viafid" ,
 "http://data.cervantesvirtual.com/person/10342" , "http://viaf.org/viaf/45728161" ,
 "http://data.cervantesvirtual.com/person/10367" , "http://viaf.org/viaf/34807595" ,
 "http://data.cervantesvirtual.com/person/28973" , "http://viaf.org/viaf/34807595" ,
 "http://data.cervantesvirtual.com/person/10371" , "http://viaf.org/viaf/29907981" ,
 "http://data.cervantesvirtual.com/person/10372" , "http://viaf.org/viaf/24648247" ,
 "http://data.cervantesvirtual.com/person/10373" , "http://viaf.org/viaf/20427233" ,
 "http://data.cervantesvirtual.com/person/10377" , "http://viaf.org/viaf/87285064" ,
 "http://data.cervantesvirtual.com/person/10379" , "http://viaf.org/viaf/58897115" ,
 "http://data.cervantesvirtual.com/person/10383" , "http://viaf.org/viaf/304568355" ,
 "http://data.cervantesvirtual.com/person/1039" , "http://viaf.org/viaf/261331323" ,
 "http://data.cervantesvirtual.com/person/10399" , "http://viaf.org/viaf/30387300" ,
 "http://data.cervantesvirtual.com/person/104" , "http://viaf.org/viaf/2464954" ,
 "http://data.cervantesvirtual.com/person/1040" , "http://viaf.org/viaf/44497926" ,
 "http://data.cervantesvirtual.com/person/10400" , "http://viaf.org/viaf/24619702" ,
 "http://data.cervantesvirtual.com/person/10401" , "http://viaf.org/viaf/19773819" ,
 "http://data.cervantesvirtual.com/person/1041" , "http://viaf.org/viaf/282554808" ,
 "http://data.cervantesvirtual.com/person/10410" , "http://viaf.org/viaf/87844268" ,
 "http://data.cervantesvirtual.com/person/10414" , "http://viaf.org/viaf/29563371" ,
 "http://data.cervantesvirtual.com/person/1042" , "http://viaf.org/viaf/84496537" ,
 "http://data.cervantesvirtual.com/person/10441" , "http://viaf.org/viaf/64009119" ,
 "http://data.cervantesvirtual.com/person/10442" , "http://viaf.org/viaf/35959065" ,
 "http://data.cervantesvirtual.com/person/10443" , "http://viaf.org/viaf/51717999" ,
 "http://data.cervantesvirtual.com/person/10452" , "http://viaf.org/viaf/9850407" ,
 "http://data.cervantesvirtual.com/person/10455" , "http://viaf.org/viaf/27085429" ,
 "http://data.cervantesvirtual.com/person/10456" , "http://viaf.org/viaf/66462795" ,
 "http://data.cervantesvirtual.com/person/1046" , "http://viaf.org/viaf/44342515" ,
 "http://data.cervantesvirtual.com/person/10462" , "http://viaf.org/viaf/120694757" ,
 "http://data.cervantesvirtual.com/person/10463" , "http://viaf.org/viaf/57406701" ,
 "http://data.cervantesvirtual.com/person/10468" , "http://viaf.org/viaf/29543656" ,
 "http://data.cervantesvirtual.com/person/10498" , "http://viaf.org/viaf/46351548" ,
 "http://data.cervantesvirtual.com/person/105" , "http://viaf.org/viaf/17232104" ,
 "http://data.cervantesvirtual.com/person/10501" , "http://viaf.org/viaf/96973963" ,
 "http://data.cervantesvirtual.com/person/10506" , "http://viaf.org/viaf/39376770" ,
 "http://data.cervantesvirtual.com/person/10509" , "http://viaf.org/viaf/116932494" ,
 "http://data.cervantesvirtual.com/person/1051" , "http://viaf.org/viaf/73896446" ,
 "http://data.cervantesvirtual.com/person/10511" , "http://viaf.org/viaf/87166374" ,
 "http://data.cervantesvirtual.com/person/10517" , "http://viaf.org/viaf/115475645" ,
 "http://data.cervantesvirtual.com/person/10519" , "http://viaf.org/viaf/169432110" ,
 "http://data.cervantesvirtual.com/person/1052" , "http://viaf.org/viaf/6441486" ,
 "http://data.cervantesvirtual.com/person/10522" , "http://viaf.org/viaf/2569179" ,
 "http://data.cervantesvirtual.com/person/10549" , "http://viaf.org/viaf/90728232" ,
 "http://data.cervantesvirtual.com/person/1055" , "http://viaf.org/viaf/34454091" ,
 "http://data.cervantesvirtual.com/person/10564" , "http://viaf.org/viaf/70959268" ,
 "http://data.cervantesvirtual.com/person/10575" , "http://viaf.org/viaf/79018136" ,
 "http://data.cervantesvirtual.com/person/10582" , "http://viaf.org/viaf/51705730" ,
 "http://data.cervantesvirtual.com/person/1059" , "http://viaf.org/viaf/100240594" ,
 "http://data.cervantesvirtual.com/person/10591" , "http://viaf.org/viaf/39376387" ,
 "http://data.cervantesvirtual.com/person/10595" , "http://viaf.org/viaf/218193921" ,
 "http://data.cervantesvirtual.com/person/106" , "http://viaf.org/viaf/54945127" ,
 "http://data.cervantesvirtual.com/person/10606" , "http://viaf.org/viaf/29613049" ,
 "http://data.cervantesvirtual.com/person/10614" , "http://viaf.org/viaf/49356247" ,
 "http://data.cervantesvirtual.com/person/10616" , "http://viaf.org/viaf/79038967" ,
 "http://data.cervantesvirtual.com/person/10617" , "http://viaf.org/viaf/93111937" ,
 "http://data.cervantesvirtual.com/person/10624" , "http://viaf.org/viaf/71431102" ,
 "http://data.cervantesvirtual.com/person/10647" , "http://viaf.org/viaf/48451" ,
 "http://data.cervantesvirtual.com/person/10651" , "http://viaf.org/viaf/79051236" ,
 "http://data.cervantesvirtual.com/person/10652" , "http://viaf.org/viaf/108166648" ,
 "http://data.cervantesvirtual.com/person/10656" , "http://viaf.org/viaf/110261896" ,
 "http://data.cervantesvirtual.com/person/10666" , "http://viaf.org/viaf/4954708" ,
 "http://data.cervantesvirtual.com/person/10683" , "http://viaf.org/viaf/169496260" ,
 "http://data.cervantesvirtual.com/person/10690" , "http://viaf.org/viaf/34498036" ,
 "http://data.cervantesvirtual.com/person/107" , "http://viaf.org/viaf/32252535" ,
 "http://data.cervantesvirtual.com/person/10705" , "http://viaf.org/viaf/27074419" ,
 "http://data.cervantesvirtual.com/person/10709" , "http://viaf.org/viaf/31143347" ,
 "http://data.cervantesvirtual.com/person/10726" , "http://viaf.org/viaf/137206" ,
 "http://data.cervantesvirtual.com/person/1073" , "http://viaf.org/viaf/12303244" ,
 "http://data.cervantesvirtual.com/person/10733" , "http://viaf.org/viaf/106594277" ,
 "http://data.cervantesvirtual.com/person/10734" , "http://viaf.org/viaf/18986854" ,
 "http://data.cervantesvirtual.com/person/10739" , "http://viaf.org/viaf/54390884" ,
 "http://data.cervantesvirtual.com/person/10744" , "http://viaf.org/viaf/83204660" ,
 "http://data.cervantesvirtual.com/person/10757" , "http://viaf.org/viaf/67259743" ,
 "http://data.cervantesvirtual.com/person/10768" , "http://viaf.org/viaf/58296897" ,
 "http://data.cervantesvirtual.com/person/10791" , "http://viaf.org/viaf/87103640" ,
 "http://data.cervantesvirtual.com/person/10792" , "http://viaf.org/viaf/25032992" ,
 "http://data.cervantesvirtual.com/person/10794" , "http://viaf.org/viaf/70756563" ,
 "http://data.cervantesvirtual.com/person/10797" , "http://viaf.org/viaf/3977889" ,
 "http://data.cervantesvirtual.com/person/10810" , "http://viaf.org/viaf/98064684" ,
 "http://data.cervantesvirtual.com/person/10812" , "http://viaf.org/viaf/9857433" ,
 "http://data.cervantesvirtual.com/person/10813" , "http://viaf.org/viaf/7450338" ,
 "http://data.cervantesvirtual.com/person/10827" , "http://viaf.org/viaf/66480609" ,
 "http://data.cervantesvirtual.com/person/10833" , "http://viaf.org/viaf/70289" ,
 "http://data.cervantesvirtual.com/person/10840" , "http://viaf.org/viaf/172242432" ,
 "http://data.cervantesvirtual.com/person/10842" , "http://viaf.org/viaf/49354055" ,
 "http://data.cervantesvirtual.com/person/10850" , "http://viaf.org/viaf/270492867" ,
 "http://data.cervantesvirtual.com/person/10853" , "http://viaf.org/viaf/56623752" ,
 "http://data.cervantesvirtual.com/person/10857" , "http://viaf.org/viaf/39721320" ,
 "http://data.cervantesvirtual.com/person/10864" , "http://viaf.org/viaf/53355883" ,
 "http://data.cervantesvirtual.com/person/10876" , "http://viaf.org/viaf/6397544" ,
 "http://data.cervantesvirtual.com/person/10878" , "http://viaf.org/viaf/160109702" ,
 "http://data.cervantesvirtual.com/person/10879" , "http://viaf.org/viaf/41869237" ,
 "http://data.cervantesvirtual.com/person/10891" , "http://viaf.org/viaf/51686739" ,
 "http://data.cervantesvirtual.com/person/10892" , "http://viaf.org/viaf/12302923" ,
 "http://data.cervantesvirtual.com/person/10894" , "http://viaf.org/viaf/100243321" ,
 "http://data.cervantesvirtual.com/person/10895" , "http://viaf.org/viaf/19723774" ,
 "http://data.cervantesvirtual.com/person/10897" , "http://viaf.org/viaf/59213158" ,
 "http://data.cervantesvirtual.com/person/10899" , "http://viaf.org/viaf/39106071" ,
 "http://data.cervantesvirtual.com/person/109" , "http://viaf.org/viaf/5030712" ,
 "http://data.cervantesvirtual.com/person/10905" , "http://viaf.org/viaf/49602102" ,
 "http://data.cervantesvirtual.com/person/10940" , "http://viaf.org/viaf/54576207" ,
 "http://data.cervantesvirtual.com/person/10969" , "http://viaf.org/viaf/2715319" ,
 "http://data.cervantesvirtual.com/person/10986" , "http://viaf.org/viaf/31991375" ,
 "http://data.cervantesvirtual.com/person/10989" , "http://viaf.org/viaf/106979150" ,
 "http://data.cervantesvirtual.com/person/10990" , "http://viaf.org/viaf/44887916" ,
 "http://data.cervantesvirtual.com/person/10994" , "http://viaf.org/viaf/49253614" ,
 "http://data.cervantesvirtual.com/person/11" , "http://viaf.org/viaf/22150620" ,
 "http://data.cervantesvirtual.com/person/11011" , "http://viaf.org/viaf/111469204" ,
 "http://data.cervantesvirtual.com/person/11012" , "http://viaf.org/viaf/4959739" ,
