s,sLabel
http://www.wikidata.org/entity/Q25997,Innokienti Ánnienski
http://www.wikidata.org/entity/Q28975,Christopher Marlowe
http://www.wikidata.org/entity/Q29721,Gunnar Björling
http://www.wikidata.org/entity/Q742,Jean Racine
http://www.wikidata.org/entity/Q2054,Séneca
http://www.wikidata.org/entity/Q25120,Pier Paolo Pasolini
http://www.wikidata.org/entity/Q563,Brigitte Fontaine
http://www.wikidata.org/entity/Q765,Darío Fo
http://www.wikidata.org/entity/Q12706,Máximo Gorki
http://www.wikidata.org/entity/Q28147,James Krüss
http://www.wikidata.org/entity/Q31812,Flavio Sciolè
http://www.wikidata.org/entity/Q69022,Johann Baptist von Schweitzer
http://www.wikidata.org/entity/Q70326,Pierre-Augustin de Beaumarchais
http://www.wikidata.org/entity/Q71336,Adolf Böttger
http://www.wikidata.org/entity/Q76487,Paul von Heyse
http://www.wikidata.org/entity/Q76483,Rainer Maria Rilke
http://www.wikidata.org/entity/Q76820,Carl Zuckmayer
http://www.wikidata.org/entity/Q77208,Horst Bienek
http://www.wikidata.org/entity/Q83184,Jacinto Benavente
http://www.wikidata.org/entity/Q84894,Anton Wildgans
http://www.wikidata.org/entity/Q86666,Johann Baptist von Alxinger
http://www.wikidata.org/entity/Q93137,Pär Lagerkvist
http://www.wikidata.org/entity/Q101235,Anton Sterbling
http://www.wikidata.org/entity/Q112611,Rudolf Hollinger
http://www.wikidata.org/entity/Q117177,Albert Steffen
http://www.wikidata.org/entity/Q117783,Hugo Claus
http://www.wikidata.org/entity/Q931728,Q931728
http://www.wikidata.org/entity/Q965359,Q965359
http://www.wikidata.org/entity/Q929359,Miodrag Pavlović
http://www.wikidata.org/entity/Q945333,Tang Xianzu
http://www.wikidata.org/entity/Q945453,Nanni Cagnone
http://www.wikidata.org/entity/Q962432,Jan Kasprowicz
http://www.wikidata.org/entity/Q970585,François Andrieux
http://www.wikidata.org/entity/Q123553,Albert Cohen
http://www.wikidata.org/entity/Q79025,Walter Scott
http://www.wikidata.org/entity/Q70356,Friedrich Wilhelm Gotter
http://www.wikidata.org/entity/Q72040,Joseph von Auffenberg
http://www.wikidata.org/entity/Q72165,Ernst Lissauer
http://www.wikidata.org/entity/Q76417,Jakob Michael Reinhold Lenz
http://www.wikidata.org/entity/Q77484,Hanns Johst
http://www.wikidata.org/entity/Q81685,François Mauriac
http://www.wikidata.org/entity/Q84824,Heinrich Joseph von Collin
http://www.wikidata.org/entity/Q88265,Hugo Zuckermann
http://www.wikidata.org/entity/Q89416,Felix Braun
http://www.wikidata.org/entity/Q117176,Tespis
http://www.wikidata.org/entity/Q94186,Robert Schneider
http://www.wikidata.org/entity/Q83158,Jean Cocteau
http://www.wikidata.org/entity/Q956296,Jaroslav Kvapil
http://www.wikidata.org/entity/Q942163,Jean-Baptiste-Louis Gresset
http://www.wikidata.org/entity/Q944837,Josep Maria de Sagarra
http://www.wikidata.org/entity/Q966067,Jiří Mahen
http://www.wikidata.org/entity/Q964391,Robert Duncan
http://www.wikidata.org/entity/Q932152,Tony Harrison
http://www.wikidata.org/entity/Q72804,Ursula Krechel
http://www.wikidata.org/entity/Q77204,Joseph von Eichendorff
http://www.wikidata.org/entity/Q78506,Ingeborg Bachmann
http://www.wikidata.org/entity/Q80321,Halldór Laxness
http://www.wikidata.org/entity/Q70988,Achim von Arnim
http://www.wikidata.org/entity/Q86152,Robert Prutz
http://www.wikidata.org/entity/Q88937,Thomas Brasch
http://www.wikidata.org/entity/Q93166,Milan Kundera
http://www.wikidata.org/entity/Q93718,Ludwig Anzengruber
http://www.wikidata.org/entity/Q96273,Heinz Czechowski
