"s","viafid"
"http://datos.bne.es/resource/XX819578","http://viaf.org/viaf/87603493"
"http://datos.bne.es/resource/XX819579","http://viaf.org/viaf/39372481"
"http://datos.bne.es/resource/XX819580","http://viaf.org/viaf/87603504"
"http://datos.bne.es/resource/XX819584","http://viaf.org/viaf/39377320"
"http://datos.bne.es/resource/XX819608","http://viaf.org/viaf/100213745"
"http://datos.bne.es/resource/XX819612","http://viaf.org/viaf/12591517"
"http://datos.bne.es/resource/XX819614","http://viaf.org/viaf/87603641"
"http://datos.bne.es/resource/XX819615","http://viaf.org/viaf/68936371"
"http://datos.bne.es/resource/XX819625","http://viaf.org/viaf/19037199"
"http://datos.bne.es/resource/XX819626","http://viaf.org/viaf/87603673"
"http://datos.bne.es/resource/XX819632","http://viaf.org/viaf/94483907"
"http://datos.bne.es/resource/XX819634","http://viaf.org/viaf/99412278"
"http://datos.bne.es/resource/XX819645","http://viaf.org/viaf/87603706"
"http://datos.bne.es/resource/XX819649","http://viaf.org/viaf/78112052"
"http://datos.bne.es/resource/XX819670","http://viaf.org/viaf/15011276"
"http://datos.bne.es/resource/XX819674","http://viaf.org/viaf/73869675"
"http://datos.bne.es/resource/XX819675","http://viaf.org/viaf/48057568"
"http://datos.bne.es/resource/XX819683","http://viaf.org/viaf/9853030"
"http://datos.bne.es/resource/XX819695","http://viaf.org/viaf/87603813"
"http://datos.bne.es/resource/XX819708","http://viaf.org/viaf/97885829"
"http://datos.bne.es/resource/XX819715","http://viaf.org/viaf/87603850"
"http://datos.bne.es/resource/XX819725","http://viaf.org/viaf/21083875"
"http://datos.bne.es/resource/XX819741","http://viaf.org/viaf/87603884"
"http://datos.bne.es/resource/XX819742","http://viaf.org/viaf/17277517"
"http://datos.bne.es/resource/XX819750","http://viaf.org/viaf/33320918"
"http://datos.bne.es/resource/XX819759","http://viaf.org/viaf/87603911"
"http://datos.bne.es/resource/XX819773","http://viaf.org/viaf/29535181"
"http://datos.bne.es/resource/XX819778","http://viaf.org/viaf/307164407"
"http://datos.bne.es/resource/XX819783","http://viaf.org/viaf/76325220"
"http://datos.bne.es/resource/XX819788","http://viaf.org/viaf/67826950"
"http://datos.bne.es/resource/XX819797","http://viaf.org/viaf/27109548"
"http://datos.bne.es/resource/XX819802","http://viaf.org/viaf/87604013"
"http://datos.bne.es/resource/XX819805","http://viaf.org/viaf/39431113"
"http://datos.bne.es/resource/XX819808","http://viaf.org/viaf/87604045"
"http://datos.bne.es/resource/XX819813","http://viaf.org/viaf/87604084"
"http://datos.bne.es/resource/XX819839","http://viaf.org/viaf/87604202"
"http://datos.bne.es/resource/XX819846","http://viaf.org/viaf/266600232"
"http://datos.bne.es/resource/XX819860","http://viaf.org/viaf/87604287"
"http://datos.bne.es/resource/XX819870","http://viaf.org/viaf/87604294"
"http://datos.bne.es/resource/XX819873","http://viaf.org/viaf/87604304"
"http://datos.bne.es/resource/XX819877","http://viaf.org/viaf/37004669"
"http://datos.bne.es/resource/XX819882","http://viaf.org/viaf/87604315"
"http://datos.bne.es/resource/XX819884","http://viaf.org/viaf/87604327"
